1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00416,pinE,pinE;
RDBECOLITUC00417,mcrA,mcrA;
RDBECOLITUC00418,icdC,icdC;
RDBECOLITUC00419,iraM,iraM;
RDBECOLITUC00420,ycgX,ycgX;
RDBECOLITUC00421,bluR,bluR;
RDBECOLITUC00422,ycgZ,ycgZ;
RDBECOLITUC00423,ymgA-ariR,ariR;ymgA;
RDBECOLITUC00424,ymgC,ymgC;
RDBECOLITUC00425,pdeG,pdeG;
RDBECOLITUC00426,ymgF,ymgF;
RDBECOLITUC00427,None,ycgH;
RDBECOLITUC00428,ymgGD,ymgG;ymgD;
RDBECOLITUC00429,ycgI,ycgI;
RDBECOLITUC00430,ycgL,ycgL;
RDBECOLITUC00431,ycgM,ycgM;
RDBECOLITUC00432,ycgN,ycgN;
RDBECOLITUC00433,dsbB,dsbB;
RDBECOLITUC00434,nhaB,nhaB;
RDBECOLITUC00435,cvrA,cvrA;
RDBECOLITUC00436,ldcA,ldcA;
RDBECOLITUC00437,ymgE,ymgE;
RDBECOLITUC00438,ycgY,ycgY;
RDBECOLITUC00439,ycgV,ycgV;
RDBECOLITUC00440,dauA,dauA;
RDBECOLITUC00441,ychS,ychS;
RDBECOLITUC00442,rttR,rttR;
RDBECOLITUC00443,purU,purU;
RDBECOLITUC00444,ychJ,ychJ;
RDBECOLITUC00445,insZ,insZ;
RDBECOLITUC00446,ychE,ychE;
RDBECOLITUC00447,yciI,yciI;
RDBECOLITUC00448,yciA,yciA;
RDBECOLITUC00449,yciCB,yciC;yciB;
RDBECOLITUC00450,yciGFE,yciE;yciF;yciG;
RDBECOLITUC00451,yciVOQ,yciQ;yciO;rnm;
RDBECOLITUC00452,rluB,rluB;
RDBECOLITUC00453,yciK-btuR,yciK;btuR;
RDBECOLITUC00454,ymiA-yciX,yciX;ymiA;
RDBECOLITUC00455,pgpB,pgpB;
RDBECOLITUC00456,lapAB,lapB;lapA;
RDBECOLITUC00457,yciW,yciW;
RDBECOLITUC00458,fabI,fabI;
RDBECOLITUC00459,ycjD,ycjD;
RDBECOLITUC00460,sapABCDF,sapA;sapB;sapC;sapD;sapF;
RDBECOLITUC00461,ymjA,ymjA;
RDBECOLITUC00462,puuAP,ymjE;puuP;puuA;
RDBECOLITUC00463,puuDRCBE,puuE;puuB;puuC;puuR;puuD;
RDBECOLITUC00464,puuCBE,puuE;puuB;puuC;
RDBECOLITUC00465,ycjMNOPQRSTUV-ymjB-ompG,ompG;ymjB;ycjV;ycjU;ycjT;ycjS;ycjR;ycjQ;ycjP;ycjO;ycjN;ycjM;
RDBECOLITUC00466,ompG,ompG;
RDBECOLITUC00467,ycjXF,ycjF;ycjX;
RDBECOLITUC00468,ymjC-mpaA,ymjC;mpaA;
RDBECOLITUC00469,ycjY,ycjY;
RDBECOLITUC00470,pgrR,pgrR;
RDBECOLITUC00471,mppA,mppA;
RDBECOLITUC00472,insH4,insH4;
RDBECOLITUC00473,ynaJ,ynaJ;
RDBECOLITUC00474,uspE,uspE;
RDBECOLITUC00475,abgABT-ogt,abgA;abgB;abgT;ogt;
RDBECOLITUC00476,zntB,zntB;
RDBECOLITUC00477,ttcA,ttcA;
RDBECOLITUC00478,recET-ralR-rcbA-xisR-intR,recE;recT;ralR;rcbA;xisR;intR;
RDBECOLITUC00479,racC,racC;
RDBECOLITUC00480,kilR-ydaE,kilR;ydaE;
RDBECOLITUC00481,ydaGF,ydaG;ydaF;
RDBECOLITUC00482,racR,racR;
RDBECOLITUC00483,ydaSTUVW-rzpR,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS;
RDBECOLITUC00484,rzoR,rzoR;
RDBECOLITUC00485,trkG,trkG;
RDBECOLITUC00486,ynaK-ydaY,ydaY;ynaK;
RDBECOLITUC00487,ynaA-lomR,lomR;ynaA;
RDBECOLITUC00488,stfR-tfaR,tfaR;stfR;
RDBECOLITUC00489,pinR,pinR;
RDBECOLITUC00490,ynaE,ynaE;
RDBECOLITUC00491,uspF,uspF;
RDBECOLITUC00492,ompN,ompN;
RDBECOLITUC00493,hslJ,hslJ;
RDBECOLITUC00494,ydbH-ynbE-ydbL,ydbL;ynbE;ydbH;
RDBECOLITUC00495,ydbA,ydbA;
RDBECOLITUC00496,insC2D2CD2,insC2;insD2;insCD2;
RDBECOLITUC00497,insI2,insI2;
RDBECOLITUC00498,pdxI,pdxI;
RDBECOLITUC00499,ydbD,ydbD;
RDBECOLITUC00500,ynbABCD,ynbD;ynbC;ynbB;ynbA;
RDBECOLITUC00501,hrpA,hrpA;
RDBECOLITUC00502,ydcF,ydcF;
RDBECOLITUC00503,cybB,cybB;
RDBECOLITUC00504,ydcA,ydcA;
RDBECOLITUC00505,hokB,hokB;
RDBECOLITUC00506,mokB,mokB;
RDBECOLITUC00507,sokB,sokB;
RDBECOLITUC00508,ydcJ,ydcJ;
RDBECOLITUC00509,opgD,opgD;
RDBECOLITUC00510,ydcH,ydcH;
RDBECOLITUC00511,ydcL,ydcL;
RDBECOLITUC00512,yncK,yncK;
RDBECOLITUC00513,sutR,sutR;
RDBECOLITUC00514,rlhA,rlhA;
